arabic,english
انا من شيكوكو,i am from shikoku
لا مشكله مطلقا,no problem at all
ما الذي يحدث,whats happening
كان هناك 150 راكبا علي متن الطائره,there were 150 passengers on the plane
تنحي جانبا اذا سمحت,stand back please
احترقت المنازل واحده تلو الاخري,the houses caught fire one after another
امل ذلك,i hope so
لم ار برادا احمر من قبل,i have never seen a red refrigerator
اريدك ان تجرب ذلك,i want you to try it
هم يحتاجون المزيد من المساعده,they require extra help
هذا احد كتب توم المفضله,this is one of toms favorite books
اتصلت بتوم,i called tom up
لقد تاخرت عن العمل,you were late for work
هل تعيش مع والديك,do you live with your parents
عيناي تؤلمانني,my eyes hurt
انها تستحق التكلفه,its well worth the cost
ما رايكم,what do you think
السباحه ليلا خطره,swimming at night is dangerous
اوقف ذلك,stop that
توم يحب ماري ولكنها تحب جون,tom loves mary but mary loves john
اتساءل ان كان يحبني,i wonder if he loves me
اتسوق كل صباح,i go shopping every morning
خذ هذا او ذاك,take this or that
اراك مجددا,see you again
انه يتكلم الروسيه بطلاقه,he speaks russian perfectly
اراك غدا عند المكتبه,see you tomorrow at the library
دعنا فقط نصبح اصدقاء,lets just be friends
خطابها اثر في الجمهور,her speech moved the audience
ادين لها بمئه الف ين,i owe her 100000 yen
اعطيت ابي ربطه عنق حريريه,i gave my father a silk tie
هل لي ان اساعدك,can i help you
اين كتابي,wheres my book
نقدر مساعدتك,we appreciate your help
هل تعيش هنا,do you live here
احدهم يتصل بك,someone is calling you
اختتم المؤتمر قبل ساعتين,the conference ended two hours ago
ماذا قال,what did he say
لدي شقيقين,ive got two brothers
هل لك ان تغلق الباب,would you mind shutting the door
هي معتاده علي الاستيقاظ باكرا,shes accustomed to getting up early
عموما مدخرات الافراد في ازدياد,generally speaking savings are increasing
سوف اسافر في مارساذار,ill be leaving in march
متي اتيت,when did you come
تحب الموسيقي اكثر من اي شيء اخر,she likes music better than anything else
اوافقك الراي ان الممثل موهوب جدا,i agree with you that the actor is very talented
لم اقصد ايذاءك,i didnt mean to hurt you
يعيش عمي في شقه سكنيه,my uncle lives in an apartment
انا لا اصدقك انت تكذب دائما,i dont believe you youre always lying
كيف حال الطقس,how is the weather
توم يحب التشيزبرقر,tom likes cheeseburgers
هل هذه المعلومه صحيحه,is this information right
سينتهي المؤتمر غدا,the conference will end tomorrow
افهم قصدك,i understand what you mean
ادخل الباب مفتوح,come in the door is open
لديه سياره,he has a car
لا اري شيئا,i cant see anything
ما هذه الا قمه الجبل الجليدي,its just the tip of the iceberg
قاموا بتجربه لمعرفه ما اذا كان الدواء قد حسن الذاكره,they did an experiment to see if the drug improved memory
اعلنت القوات الامريكيه انتهاء مهمتها في العراق,american forces announced the completion of their mission in iraq
لديه سياره باربعه ابواب,he has a car that has four doors
غني اغنيه,he sang a song
هل المدرسه بعيده عن منزلك,is your school far from your home
اتصل بي حين تاتي الي طوكيو رجاء,please get in touch with me when you come to tokyo
الارض تدور حول الشمس,the earth moves around the sun
هلا اعطيتني اسمك الكامل,can i have your full name
لم يكن هذا ما اردت سماعه,that wasnt what i wanted to hear
استيقظت في الخامسه هذا الصباح,i woke up at five this morning
انهم اتون الي منزلنا نحن لن نذهب الي منزلهم,theyre coming to our house we arent going to their house
اتوجد مجلات انجليزيه في هذه المكتبه,are there any english magazines in this library
انا مترجم,im a translator
لدي سؤال,i have a question
كان المكان هادئا,the area was quiet
ماذا للعشاء,whats for dinner
لقد تحسنت,its improved
بقي الباب مغلقا طوال اليوم,the door remained closed all day
اخيرا توقف المطر,the rain stopped at last
المدرس عند المدير,the teacher is with the school principal
اهلا وسهلا,welcome
من فضلك غادر حالا,please leave right away
تبدو في الستينات من عمرها علي الاقل,she looks at least sixty
كيف لك ان تقول ذلك,how can you say that
انها بلا شك محقه,shes correct for sure
توم ليس صارما بما فيه الكفايه مع طلابه,tom isnt strict enough with his students
اخرس,shut up
بالله عليك,come on
شهدنا ثلاثه حروب,we have seen three wars
انها اكبر مني بسنتين,she is two years older than you
ابذل وسعك في كل شيء,do your best in everything
اريد الانتقام,i want vengeance
لماذا تدرس,why do you study
لم يعجبني ذلك,i didnt like it
الحساب ثلاثون يورو,this will cost 30
هذا الكلب يركض بسرعه,this dog runs fast
يبدو لي مثيرا للاهتمام,it seems interesting to me
نحن نحب اولادنا,we love our children
ذاك كرسيي المفضل,thats my favorite chair
متي غادرت منزلك صباح اليوم,what time did you leave your house this morning
لو كنت مكانك كنت سافعل نفس الشئ,if i were you i would also do the same
ما زالوا صغارا,they are still children
احضر النسخه الاحتياطيه,bring backup
لا اتي الي هنا كثيرا,i dont come here very often
تبدو شاحبا اليوم,you look pale today
هذا واجبي,its my job
هذا الكلب ابيض,this dog is white
توم شاهد مافعلته,tom look at what i made
